part,stl,bbox_x,bbox_y,bbox_z,fits_145
PRINT_box_foot,stl/PRINT_box_foot.stl,40.0,40.0,26.0,YES
PRINT_equipment_plate,stl/PRINT_equipment_plate.stl,140.0,140.0,38.0,YES
PRINT_upper_shelf,stl/PRINT_upper_shelf.stl,139.5,124.0,10.0,YES
PRINT_lapbar_yoke_bottom,stl/PRINT_lapbar_yoke_bottom.stl,129.1,46.0,10.0,YES
PRINT_lapbar_yoke_top,stl/PRINT_lapbar_yoke_top.stl,68.0,46.0,10.0,YES
PRINT_rail_anchor_bottom,stl/PRINT_rail_anchor_bottom.stl,57.0,73.1,46.0,YES
PRINT_rail_anchor_top,stl/PRINT_rail_anchor_top.stl,57.0,28.4,46.0,YES
PRINT_gps_clamp_a,stl/PRINT_gps_clamp_a.stl,104.0,57.6,50.0,YES
PRINT_gps_clamp_b,stl/PRINT_gps_clamp_b.stl,104.0,37.6,50.0,YES
PRINT_gps_top_plate,stl/PRINT_gps_top_plate.stl,60.0,60.0,24.0,YES
PRINT_lidar_base_a,stl/PRINT_lidar_base_a.stl,60.0,88.8,28.4,YES
PRINT_lidar_base_b,stl/PRINT_lidar_base_b.stl,64.0,88.8,34.4,YES
PRINT_lidar_mast_lower,stl/PRINT_lidar_mast_lower.stl,82.0,82.0,112.0,YES
