"Designator","Value","Footprint","LCSC/MPN","Qty"
"C1","470u 25V","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","C43839","1"
"C2,C4","100n","Capacitor_SMD:C_0805_2012Metric","C49678","2"
"C3","10u 25V","Capacitor_SMD:C_0805_2012Metric","C15850","1"
"D1","SMBJ16A TVS","Diode_SMD:D_SMB","C151254 SMBJ16A","1"
"D2,D3","SS34 flyback","Diode_SMD:D_SMA","C8678","2"
"D5","BZT52C15 (15V)","Diode_SMD:D_SOD-123","BZT52C15 (verify LCSC)","1"
"F0","30A ATO","Fuse:FuseHolder_Blade_ATO_Littelfuse_FLR_178.6165","Littelfuse 178.6165 ATO holder (verify LCSC)","1"
"F1","5A ATO (Pi buck)","Fuse:FuseHolder_Blade_ATO_Littelfuse_FLR_178.6165","Littelfuse 178.6165 ATO holder (verify LCSC)","1"
"F2","3A ATO (logic buck, e-stop)","Fuse:FuseHolder_Blade_ATO_Littelfuse_FLR_178.6165","Littelfuse 178.6165 ATO holder (verify LCSC)","1"
"F3","2A ATO (PM02)","Fuse:FuseHolder_Blade_ATO_Littelfuse_FLR_178.6165","Littelfuse 178.6165 ATO holder (verify LCSC)","1"
"F4","10A ATO (drive)","Fuse:FuseHolder_Blade_ATO_Littelfuse_FLR_178.6165","Littelfuse 178.6165 ATO holder (verify LCSC)","1"
"F5","7.5A ATO (PTO)","Fuse:FuseHolder_Blade_ATO_Littelfuse_FLR_178.6165","Littelfuse 178.6165 ATO holder (verify LCSC)","1"
"H1","ESP32 DevKitC J2","Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical","C319202","1"
"H2","ESP32 DevKitC J3","Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical","C319202","1"
"J1","XT60PW-M 12V IN","Connector_AMASS:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal","C98732 XT60PW-M","1"
"J2","J_FC: Pixhawk SERVO1/3/6/5","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","C2337","1"
"J3","J_5V: servo + ultrasonic","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","C2337","1"
"J4","J_M1: IBT-2 #1 (left)","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","C2337","1"
"J5","J_M2: IBT-2 #2 (right)","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","C2337","1"
"K1","SLA-12VDC-SL-A DRIVE","MowerCarrier:Relay_SPST_Songle_SLA-xxVDC-SL-A","SLA-12VDC-SL-A (verify LCSC)","1"
"K2","SLA-12VDC-SL-A PTO","MowerCarrier:Relay_SPST_Songle_SLA-xxVDC-SL-A","SLA-12VDC-SL-A (verify LCSC)","1"
"LED1","green: STATUS","LED_SMD:LED_0805_2012Metric","C2297","1"
"LED2","red: DRIVE LIVE","LED_SMD:LED_0805_2012Metric","C84256","1"
"Q1","IRF4905","Package_TO_SOT_THT:TO-220-3_Vertical","C2564 IRF4905","1"
"Q2,Q3","AO3400A","Package_TO_SOT_SMD:SOT-23","C20917","2"
"R1,R3,R5,R6","10k","Resistor_SMD:R_0805_2012Metric","C17414","4"
"R2,R4","100","Resistor_SMD:R_0805_2012Metric","C17408","2"
"R7","220","Resistor_SMD:R_0805_2012Metric","C17557","1"
"R8","2k","Resistor_SMD:R_0805_2012Metric","C17604","1"
"TB1","BUCK1 (Pi 5)","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","C474952","1"
"TB2","BUCK2 (logic)","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","C474952","1"
"TB3","PM02 (Pixhawk)","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","C474952","1"
"TB4","MOTOR V+ (IBT-2 B+)","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","C474952","1"
"TB5","PTO clutch","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","C474952","1"
"TB6","5V IN (buck #2)","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","C474952","1"
"TB7","TB_ESTOP: 12V,NC1,NC2,SIG,GND","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal","KF128-5.08-5P (verify LCSC)","1"
"TB8","TB_POT_L: 3V3,wiper,GND","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal","PT-1,5-3-3.5-H","1"
"TB9","TB_POT_R: 3V3,wiper,GND","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal","PT-1,5-3-3.5-H","1"
