Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470u 25V","CP_Radial_D10.0mm_P5.00mm",90.000000,-85.000000,0.000000,top
"C2","100n","C_0805_2012Metric",147.000000,-124.000000,0.000000,top
"C3","10u 25V","C_0805_2012Metric",147.000000,-128.000000,0.000000,top
"C4","100n","C_0805_2012Metric",147.000000,-132.000000,0.000000,top
"D1","SMBJ16A TVS","D_SMB",74.000000,-84.000000,0.000000,top
"D2","SS34 flyback","D_SMA",96.500000,-99.500000,0.000000,top
"D3","SS34 flyback","D_SMA",96.500000,-119.500000,0.000000,top
"D5","BZT52C15 (15V)","D_SOD-123",92.600000,-67.500000,0.000000,top
"F0","30A ATO","FuseHolder_Blade_ATO_Littelfuse_FLR_178.6165",86.000000,-77.500000,180.000000,top
"F1","5A ATO (Pi buck)","FuseHolder_Blade_ATO_Littelfuse_FLR_178.6165",78.700000,-93.500000,180.000000,top
"F2","3A ATO (logic buck, e-stop)","FuseHolder_Blade_ATO_Littelfuse_FLR_178.6165",78.700000,-105.500000,180.000000,top
"F3","2A ATO (PM02)","FuseHolder_Blade_ATO_Littelfuse_FLR_178.6165",78.700000,-117.500000,180.000000,top
"F4","10A ATO (drive)","FuseHolder_Blade_ATO_Littelfuse_FLR_178.6165",66.000000,-127.000000,0.000000,top
"F5","7.5A ATO (PTO)","FuseHolder_Blade_ATO_Littelfuse_FLR_178.6165",66.000000,-139.000000,0.000000,top
"H1","ESP32 DevKitC J2","PinSocket_1x19_P2.54mm_Vertical",142.000000,-68.000000,0.000000,top
"H2","ESP32 DevKitC J3","PinSocket_1x19_P2.54mm_Vertical",167.400000,-68.000000,0.000000,top
"J1","XT60PW-M 12V IN","AMASS_XT60PW-M_1x02_P7.20mm_Horizontal",64.000000,-66.350000,0.000000,top
"J2","J_FC: Pixhawk SERVO1/3/6/5","PinHeader_1x06_P2.54mm_Vertical",132.000000,-112.000000,0.000000,top
"J3","J_5V: servo + ultrasonic","PinHeader_1x04_P2.54mm_Vertical",136.000000,-112.000000,0.000000,top
"J4","J_M1: IBT-2 #1 (left)","PinHeader_1x06_P2.54mm_Vertical",132.000000,-90.000000,0.000000,top
"J5","J_M2: IBT-2 #2 (right)","PinHeader_1x06_P2.54mm_Vertical",136.000000,-90.000000,0.000000,top
"K1","SLA-12VDC-SL-A DRIVE","Relay_SPST_Songle_SLA-xxVDC-SL-A",124.000000,-74.000000,0.000000,top
"K2","SLA-12VDC-SL-A PTO","Relay_SPST_Songle_SLA-xxVDC-SL-A",124.000000,-114.000000,0.000000,top
"LED1","green: STATUS","LED_0805_2012Metric",156.000000,-128.000000,0.000000,top
"LED2","red: DRIVE LIVE","LED_0805_2012Metric",95.000000,-130.000000,0.000000,top
"Q1","IRF4905","TO-220-3_Vertical",81.000000,-68.000000,0.000000,top
"Q2","AO3400A","SOT-23",94.000000,-94.000000,0.000000,top
"Q3","AO3400A","SOT-23",94.000000,-114.000000,0.000000,top
"R1","10k","R_0805_2012Metric",94.000000,-59.000000,0.000000,top
"R2","100","R_0805_2012Metric",89.000000,-93.000000,0.000000,top
"R3","10k","R_0805_2012Metric",89.000000,-97.000000,0.000000,top
"R4","100","R_0805_2012Metric",89.000000,-113.000000,0.000000,top
"R5","10k","R_0805_2012Metric",89.000000,-117.000000,0.000000,top
"R6","10k","R_0805_2012Metric",154.000000,-63.000000,0.000000,top
"R7","220","R_0805_2012Metric",156.000000,-124.000000,0.000000,top
"R8","2k","R_0805_2012Metric",90.000000,-130.000000,0.000000,top
"TB1","BUCK1 (Pi 5)","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",55.100000,-88.500000,-90.000000,top
"TB2","BUCK2 (logic)","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",55.100000,-100.500000,-90.000000,top
"TB3","PM02 (Pixhawk)","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",55.100000,-112.500000,-90.000000,top
"TB4","MOTOR V+ (IBT-2 B+)","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",88.000000,-144.900000,0.000000,top
"TB5","PTO clutch","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",100.000000,-144.900000,0.000000,top
"TB6","5V IN (buck #2)","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",112.000000,-144.900000,0.000000,top
"TB7","TB_ESTOP: 12V,NC1,NC2,SIG,GND","TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal",150.000000,-55.100000,180.000000,top
"TB8","TB_POT_L: 3V3,wiper,GND","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",124.000000,-144.900000,0.000000,top
"TB9","TB_POT_R: 3V3,wiper,GND","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",136.000000,-144.900000,0.000000,top
